date,review,rating,isEdited,title,userName,developerResponse
2023-04-11 16:57:43,"The app that I chose to review is called Headspace, and it is a meditation app that helps manage stress by showing mindfulness excercises, and offers information on how to manage other things such as anxiety or worry. This app did an amazing job at helping me be more mindful throughout the day. In the ""Headspace library"", there were tabs for certain scenarios like ""navigating injustice, reframe stress and relax, mindful money, anger/sadness/growth, mindful eating, and guide to sleep,"". Each tab had different podcasts and meditation methods that corresponded to that subject. I enjoyed using this app because as a person who worries often, this tool allowed me to take time out of my day to clear my head and do something that betters my mental health. This app is relevant to abnormal psychology because it includes ways to manage anxiety and worry. Although it is not an app that diagnoses or properly treats symptoms of anxiety, it does relieve some worry by the various methods used in the app; it helps people who may want to feel better, but may not be ready to see a professional, don't have access to proper mental healthcare, or wants to try something quick that is available by simply pulling out their phone. Overall, this app was a game-changer for me as freshman in college, and it is a great way to meditate and reflect, all while teaching me how to manage my constant worry I feel throughout my day.",5,False,This is a very useful app!,Kaysoph,
2022-10-24 16:00:47,"The best mindfulness app. User friendly, the mediation teachers come from all different walks of life & you can tell that they truly LOVE what they do, so passionate helping others and one person at a time are slowly changing the world for the better. They even have things for families & kids. I’ve grown into a better person in all aspects of my life and was able to accomplish things that the “old” me would’ve never imagined. I’ve learned so much over these 2 years about myself and the world around me. Andy and Eve were the first ones I started listening to & then they got Kessonga and Dora who I felt even closer to (through culture, headspace and their added vulnerability to speak about their lives on a level I could relate with). I truly believe in investing in my mental health & have tried other guided meditation apps, but never truly connected with them & it never impacted my life like Headspace. I decided to joined Headspace in 2020 & started with the monthly payments. March 2022 I upgraded to the yearly membership. 14,601 minutes later, I can honestly say it’s the BEST thing I’ve ever given myself. TLDR: If you’re thinking about trying headspace, give the 30 day free trial a run and with consistent practice, you‘ll want to  invest your money in your mental healthy too! Podcast: Radio Headspace is also a part of my morning routine & I listen to it every morning on my commute.",5,False,An Absolute  Life Changer,Debbieamy112495,
2021-08-08 13:26:01,"I began using this application a few years back, in the middle of my college career. I was so stressed out at that time that I could hardly perform day-to-day tasks and I was so broke that I certainly couldn't afford help from a specialist. 
Enter HeadSpace. I found the app through an online search and began a free trial to try to calm my tumultuous inner consciousness. Though I cannot say that the improvements in my thoughts and behavior were immediate, the guidance of Andy's voice (the only option at that time and still my personal favorite) did help to calm me in times of immediate need. If nothing else, this app taught me to breath. My father was so impressed by my lack of mouth-breathing that he took up the monthly fee once it began and I have used Head Space (now on my own dime, thank you) ever since. 
Anyway, whether you are looking for help breathing, getting into shape, falling to sleep, or in quieting those misguided negative inner-voices that come to plague the chronically unhappy, HeadSpace has something for you (often more than one thing, in fact). If you're reading this and thinking about a trial or a membership, give it a shot. It's a judgment-free, stress-free, and until your trial runs out, a free-free way of beginning the mission to exploring and conquering anxiety and exestential dread. 
Consider it one small step for you, and one giant leap (in the right direction) for your mind.",5,False,"Head Space, The Final Frontier",Piclover56531,
2022-10-16 23:56:57,"I have use this app for several days I have taken notes throughout just to see how I feel about this app and how it works. And what are the first sessions, I decided to do a breathing exercise which I realize the instructor was having us focus on breathing from our chest. I’ve done almost the exact same breathing exercise in my abnormal psychology class but then main difference was headspace how do you focus on your chest and breathing through there instead of what we did in my abnormal psychology class which was breathing through your stomach and focusing on there.I have learned through my psychology class that breathing exercises can help people with anxiety by increasing the oxygen exchange which is known to reduce your blood pressure and slow your heart rate these two factors combined have been shown to also release tension that has been held in your abdomen. for example when you were panicking your abdomen tightens and constricts your ability to breathe which often times makes you panic more. Breathing exercises also work because the increase supply of oxygen to your brain stimulates your parasympathetic nervous system which helps promote a sense of calmness throughout you and you begin to calm down. Although some of their breathing techniques are different from what I have learned in my psychology classes this is still an app that is known for meditation and breathing exercises that can really help.",4,False,Compared to what I have learned in my PSY classes,asndnsjsjfjansndbajxjsn,
2021-08-03 16:26:06,"I was introduced to meditation more than 25 years ago and have had a relatively steady practice. So why do I use Headspace? Like any practice it is tempting to slack off or feel like you “got” all the benefits and do not need to do it anymore. Other times it can feel like one is alone in the practice and it becomes hard to motivate oneself. Headspace helps me stay motivated and consistent. And no matter how long one has practiced, having a community of meditators is very helpful to continue practicing. I also have a tendency to get bored with things including meditation, so the variety of approaches, techniques, and goals provided keep it fresh. During 2020 I really appreciated the improvements made by Headspace especially the daily conversations by other meditators, the addition of the Move feature, and the Sleep tools. These were very helpful to keep my spirits up, my body moving, and my meditation practice on track. I also discovered the Pro series for advanced meditators. I am listening to it for a second time because as I have learned in my practice, you are never “done” learning and growing as a meditator. The same session at a different time gives you different insights. I am grateful to the Headspace team for creating and continually evolving the app to meet the challenges of today. And for helping a seasoned “pro” stay fresh and present. Thank you Headspace!",5,False,Support for seasoned meditators,Zorayda M,
2021-02-11 06:22:38,"You won’t regret buying a Headspace subscription. I often joke with people that Headspace is the one thing I would want to take with me to a desert island. If I were to cancel all of my subscriptions today, Headspace is the one exception I would make. I’m a high school English teacher, and our administration put together a month-long mindfulness education program for our students shortly after I subscribed. I had already raved to many of them about the app and the benefits of taking a couple of minutes out of their day to sit and be present. Lo and behold, Andy pops up on the next slide as our Ted Talk speaker of the day! On a more serious note, I suffer from debilitating chronic pain. I’m currently on long-term disability and a leave of absence from the classroom. Mindfulness, and the courses on managing pain, have been a tremendous help in my journey. Not only that, but I struggle with insomnia. My favorite part of Headspace, because of my (admittedly) vivid imagination, are the sleepcasts. I love falling asleep to Rainday Antiques. I can’t imagine doing anything but that ever again. I have learned to manage stress and anxiety in a way that I had never thought was possible. I have meditated in the waiting room of The Cleveland Clinic before my appointments. I once laughed at the idea of mindfulness and meditation. Now it’s an integral part of my life. It’s part of my journey, and I think everyone could benefit from it.",5,False,A Bright Spot in a Dark World,Ashabashley,
2021-01-18 17:14:21,"This app has given me tools to deal with constant change. This past year, I’ve needed to pivot every day to face some new challenge outside as an essential worker, and at home in isolation with my partner. The tools I Iearned to use to be present in the moment and to accept change has benefited my partner and colleagues at work as much as my own peace of mind. I have very little control over my environment, but I can see my reaction, accept the emotions that rise up, and move on instead of getting lost or bound by them.
This app has also benefited me by helping me get through insomnia. Sometimes it helps me get to sleep in the first place. Mostly it gives me tools to use to calm my mind and body when I wake up in the night buffeted by anxiety or lingering frustration from the day. 
Lastly, this app has given me a language to express the emotional upheaval and troubling questions that I used to just call anxiety. Naming what makes me feel upset has brought clarity to what can feel like a tempest at the time and allow me to look at my thoughts or, rather, face them. After acknowledging them, I can let them go. Sometimes I’m better at that than at other times. 
Regular exercise strengthens my focus, my ability to pivot and refocus, and builds roads of calm and quiet that the brain finds easier to fall into and travel due to constant use.",5,False,The most useful thing I’ve done in 2020,Kindly38,
2022-11-05 02:29:43,"It was easy to go through life unaware of the benefits of meditation, and aside from other people’s accounts of the practice, there wasn’t much to tempt me to try.
  But as soon as i tried it and put in considerable effort to be consistent*, i was hooked. I could feel the difference between a day i remembered to practice and when i forgot to. I loved it so much i started taking time throughout my day to practice, sometimes in my car/somewhere else by myself, or sometimes I’d take a minute to just focus on my breathing or the sounds around me or how my body felt. I was hooked.
  Then i went through a big life change occurred that i allowed to take me away from the practice for over a year and a half. Now I’m here to say that the me that was consistently practicing vs the me now are not even close. I’m struggling to get back in the swing of this because i desperately miss the emotional stability and overall sense of ease i had. I just need to take it one day at a time and remember that it’s a process, there’s no such thing as doing meditation perfectly.

*tried setting a time to practice but couldn’t follow through so i resorted to just 5 minutes in the day, until i could consistently practice at a certain time in the morning, if that helps anyone w a similar struggle",5,False,It’s a drug in a way,Estevan Diaz,
2022-01-25 18:41:15,"For anyone with the slightest doubt about whether or not they should begin (or continue) their meditation practice with Headspace, do yourself the greatest favor of your life and do it - surrender to whatever is holding you back and I PROMISE you will blow your own mind with everything you will gain from it. Just trust, put in the time (even 5 minutes a day) and the rewards you will reap from it will speak for themselves. As someone who was a vicious doubter, non-believer, and did not think it was humanly possible to get me to sit still for even 1 minute - I didn’t realize that the thing that I was most resistant to, was actually the thing that I needed the most. I am now going on 3 years with headspace happier, healthier (used to suffer from terrible GERD), more compassionate, resilient, focused, and more. It brought attention to my mindless eating habits and even helped me lose weight (and keep it off). I didn’t realize that I was living in a ‘cloud’, on auto-pilot until headspace helped bring me back to myself. Today, my cure for EVERYTHING (bad day, good day, breakup, can’t focus, bad mood, feeling anxious, grumpy, lethargic, etc.) is to sit down and do a 10 minute meditation. It truly has been life-changing and I am forever, eternally grateful for Headspace.",5,False,"If you’re reading this - it’s a sign, just get it!",Nicoco218,
2021-05-17 19:06:05,"I heard about this app on tv and saw ads in The Today section of the App Store. I decided to give it a try and it really does help me out. I feel less stressed, calm, and feel ready for anything. It’s like a guide or tool which helps push you to be a better you. So then comes the question, is it worth it? I think so. For instance if you have ADHD or feel stressed most days (maybe because of work or school) use this. 

Everything is not sunshine and rainbows. For one, $13 to me feels somewhat pricey. Other meditation apps that I found are cheaper than what Headspace currently offers. Another thing is that it lacks free content. There’s only very little that Headspace offers and it’s not a lot. It’s almost as if your forced into paying for a subscription in order to use it. I really didn’t want to do that and I have now canceled it since I felt that it was overly priced. 

Headspace is great and I may say that’s is better than most apps I’ve used. But I don’t like the fact that after going through the tutorial it locks most of the content Headspace offers you and forces you into a subscription that feels overly priced. Yeah, they give you a free trial but after that your pretty much forced. Offer more videos that are free and let people decide for themselves. If you do those things I may bump my stars to 5.",4,False,"Headspace is a excellent, but isn’t truly free",VictorAllThingsTech,
